New York Snow Depth, January 2018
"GHCN ID","Station Name",County,Elevation,Latitude,Longitude,"Jan 1","Jan 2","Jan 3","Jan 4","Jan 5","Jan 6","Jan 7","Jan 8","Jan 9"
USC00305606,"MOUNT SINAI","SUFFOLK",50,-73.02,40.93,1.0,1.0,1.0,8.0,6.0,6.0,5.0,M,M
US1NYSF0077,"NESCONSET 1.4 SSW","SUFFOLK",102,-73.16,40.83,M,M,M,M,14.6,M,M,M,M
US1NYGR0005,"NEW BALTIMORE 0.2 SE","GREENE",40,-73.79,42.44,M,M,M,3.0,M,M,M,M,M
US1NYOD0019,"NEW HARTFORD 0.8 S","ONEIDA",695,-75.29,43.06,4.5,M,M,M,5.5,6.5,6.0,6.5,M
USC00305714,"NEWCOMB","ESSEX",1647,-74.22,43.97,14.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,M
US1NYNG0022,"NIAGARA FALLS 5.7 E","NIAGARA",578,-78.90,43.08,7.5,8.0,9.5,9.0,8.5,9.0,9.0,8.5,M
USC00305840,"NIAGARA FALLS INT'L AP","NIAGARA",588,-78.94,43.11,M,5.0,4.0,5.0,6.0,6.0,5.0,5.0,M
US1NYSC0016,"NISKAYUNA 2.0 N","SCHENECTADY",272,-73.90,42.85,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,M
USC00305925,"NORTH CREEK 5 SE","WARREN",890,-73.90,43.66,14.0,14.0,13.0,13.0,15.0,15.0,14.0,14.0,M
USC00306047,"NORTH TONAWANDA","NIAGARA",600,-78.85,43.02,9.0,8.0,M,M,M,M,M,M,M
US1NYNG0002,"NORTH TONAWANDA 1.0 NNE","NIAGARA",578,-78.86,43.06,7.5,8.5,8.0,8.5,8.5,9.0,8.5,7.5,M
US1NYNS0024,"NORTH WANTAGH 0.4 WSW","NASSAU",49,-73.52,40.70,M,M,M,M,M,12.5,11.5,M,M
US1NYSF0016,"NORTHPORT 1.6 NNE","SUFFOLK",84,-73.33,40.92,0.5,0.5,T,3.0,11.0,10.5,10.0,M,M
USC00306062,"NORTHVILLE","FULTON",790,-74.20,43.16,M,8.0,7.0,7.0,9.0,M,M,8.0,M
