Feb 1,Feb 2,Feb 3,Feb 4,Feb 5,Feb 6,Feb 7,Feb 8,Feb 9,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28
0.9,0.0,0.0,0.0,NA,0.0,0.0,NA,1.0,9.0,0.0,NA,NA,0.0,.005,NA,0.0,0.0,NA,0,0,0,NA,0.0,0,NA,0.0,0.0
NA,0.2,NA,NA,NA,NA,NA,NA,5.0,2.0,1.0,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.5,2.0,0.3,0.7,0.3,.005,NA,NA,0.7,0.0,1.0,NA,1.3,0.0,0.3,4.0,NA,0.0,0,0,0,NA,NA,NA,NA,0.7,0.0,0.0
4.2,.005,.005,.005,.005,0.2,NA,NA,0.2,0.0,0.6,NA,0.3,0.0,0.4,2.4,0.1,0.0,0,0,0,NA,NA,NA,NA,0.5,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0.0,0,0.1,0.0,0.0
1.0,.005,0.0,0.0,0.0,0.0,NA,NA,4.0,.005,NA,NA,NA,.005,0.0,1.5,.005,NA,NA,0,0,0,NA,0.0,0,.005,.005,NA
1.0,.005,NA,NA,NA,NA,NA,NA,4.0,.005,0.2,NA,.005,.005,NA,1.5,.005,NA,NA,NA,NA,NA,NA,NA,NA,.005,NA,NA
1.2,.005,0.0,0.0,0.0,0.0,NA,0.0,6.0,.005,0.2,NA,0.5,.005,0.0,1.0,.005,0.0,0,0,0,0,NA,0.0,0,NA,0.0,NA
.005,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,.005,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,NA,0.0,0.0
5.4,0.4,0.0,0.3,0.0,0.2,0.0,0.0,5.1,5.8,1.7,0.0,NA,1.0,0.0,0.5,0.9,0.9,0,0,0,0,0,0.0,0,1.8,0.0,0.0
3.0,.005,.005,0.0,0.0,.005,0.0,NA,5.4,.005,.005,NA,NA,.005,0.0,1.5,.005,0.0,0,0,0,0,0,0.0,0,.005,0.0,0.0
1.0,0.0,NA,0.0,0.0,0.0,0.0,NA,1.1,12.3,0.0,NA,NA,0.0,0.0,0.0,0.0,0.0,0,0,NA,0,0,0.0,NA,NA,0.0,0.0
2.3,.005,.005,.005,.005,.005,.005,0.0,3.5,0.3,1.5,0.4,6.5,0.0,0.0,.005,0.1,0.0,0,0,0,0,0,0.0,0,0.5,0.0,0.0
NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.9,0.0,NA,.005,.005,.005,0.0,NA,2.7,0.5,1.6,0.0,6.8,NA,0.0,0.4,1.2,0.0,0,0,0,0,0,0.0,NA,NA,.005,NA
2.0,0.5,2.0,1.0,NA,1.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,2.0,4.0,1.0,0.0,0,0,0,0,0,0.0,0,1.0,0.0,0.0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.0,NA
3.0,1.5,0.2,0.5,0.0,0.0,0.0,0.0,0.2,.005,NA,NA,NA,.005,1.0,3.5,0.0,0.0,0,0,0,0,0,0.0,0,.005,0.0,0.0
1.8,.005,0.0,0.0,NA,.005,NA,0.1,7.3,3.4,0.8,NA,6.0,NA,NA,NA,.005,NA,NA,NA,NA,NA,NA,NA,NA,.005,.005,NA
4.5,0.7,0.1,0.2,0.0,0.2,0.0,0.0,2.8,1.5,0.9,0.1,9.0,2.3,0.1,1.4,2.0,0.0,0,0,0,0,0,0.0,0,0.3,.005,0.0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,NA,NA,NA,0.0,0.0,1.5,1.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
2.1,0.2,0.3,.005,0.0,.005,0.0,0.0,2.3,0.1,NA,.005,4.9,1.0,.005,2.8,1.0,0.0,0,0,0,0,0,0.0,NA,0.3,.005,0.0
2.0,0.2,0.2,.005,0.0,.005,.005,0.0,2.5,0.1,0.8,.005,2.0,0.5,.005,3.5,1.5,0.0,0,0,0,0,0,0.0,0,0.2,.005,0.0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.005,NA,1.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA
1.9,5.6,9.3,11.0,0.0,NA,0.0,0.0,0.4,0.0,0.9,0.0,8.3,0.2,0.0,2.7,1.0,0.0,0,0,0,0,0,0.0,0,0.6,2.0,0.0
1.0,7.5,8.0,11.0,0.0,0.5,0.3,0.0,0.5,0.2,0.8,0.0,8.0,.005,0.0,0.8,0.2,0.0,0,0,0,0,0,0.0,0,1.0,1.0,0.0
1.0,.005,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.1,1.5,0.0,8.5,0.0,0.0,.005,0.0,0.0,0,0,0,0,0,0.0,0,NA,NA,NA
1.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.2,0.0,2.3,1.5,0.0,0.1,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0
1.5,10.6,2.5,4.3,0.6,1.3,0.0,0.0,0.4,0.0,1.5,0.0,5.7,1.3,0.6,2.9,0.2,0.0,0,0,0,0,0,0.0,0,0.3,0.0,0.0
